district,x,y
Araria,270,57
Arwal,-143,-150
Aurangabad,-263,-211
Banka,169,-209
Begusarai,39,-81
Bhagalpur,210,-130
Bhojpur,-239,-83
Buxar,-315,-74
Darbhanga,13,44
East Champaran,-149,137
Gaya,-160,-227
Gopalganj,-275,111
Jamui,73,-209
Jehanabad,-64,-135
Kaimur,-376,-146
Katihar,324,-76
Khagaria,117,-73
Kishanganj,377,66
Lakhisarai,57,-148
Madhepura,170,12
Madhubani,91,99
Munger,123,-127
Muzaffarpur,-106,46
Nalanda,-87,-145
Nawada,-57,-222
Patna,-152,-81
Purnia,293,-21
Rohtas,-340,-190
Saharsa,133,-20
Samastipur,-11,-20
Saran,-192,4
Sheikhpura,3,-153
Sheohar,-84,118
Sitamarhi,-41,141
Siwan,-284,47
Supaul,181,71
Vaishali,-100,-33
West Champaran,-262,246